2024-01-29 20:18:54 - INFO  - 2 https://www.amazon.com/Mielle-Rosemary-Mint-Scalp-Strengthening/dp/B07N7PK9QK/
2024-01-29 20:19:01 - INFO  - There is no Ingredient section for this product...
2024-01-29 20:19:01 - INFO  - 3 https://www.amazon.com/Paulas-Choice-SKIN-PERFECTING-Exfoliant-Facial-Blackheads/dp/B00949CTQQ/
2024-01-29 20:19:07 - INFO  - Ingredients section found...
2024-01-29 20:19:13 - INFO  - Ingredients added to excel file...
2024-01-29 20:19:13 - INFO  - 4 https://www.amazon.com/EltaMD-Acne-Prone-Mineral-Based-Dermatologist-Recommended/dp/B002MSN3QQ/
2024-01-29 20:19:19 - INFO  - 5 https://www.amazon.com/NYK1-Nail-Glue-Super-Strong-Bond/dp/B01I70RA8E/
2024-01-29 20:19:26 - INFO  - There is no Ingredient section for this product...
2024-01-29 20:19:26 - INFO  - 6 https://www.amazon.com/Maybelline-Volumizing-Buildable-Lengthening-Multiplying/dp/B08H3JPH74/
2024-01-29 20:19:34 - INFO  - Ingredients section found...
2024-01-29 20:19:38 - INFO  - Ingredients added to excel file...
2024-01-29 20:19:39 - INFO  - 7 https://www.amazon.com/Heartleaf-Soothing-Trouble-Refreshing-Purifying/dp/B08CMS8P67/
2024-01-29 20:19:46 - INFO  - Ingredients section found...
2024-01-29 20:19:50 - INFO  - Ingredients added to excel file...
2024-01-29 20:19:50 - INFO  - 8 https://www.amazon.com/Amazon-Basics-Cotton-Rounds-Count/dp/B09542G9ZN/
2024-01-29 20:19:57 - INFO  - Ingredients section found...
2024-01-29 20:20:03 - INFO  - Ingredients added to excel file...
2024-01-29 20:20:03 - INFO  - 9 https://www.amazon.com/Clean-Skin-Club-Disposable-Sensitive/dp/B07PBXXNCY/
2024-01-29 20:20:11 - INFO  - There is no Ingredient section for this product...
2024-01-29 20:20:11 - INFO  - 10 https://www.amazon.com/CeraVe-Moisturizing-Lotion-Hyaluronic-Fragrance/dp/B07RK4HST7/
2024-01-29 20:20:18 - INFO  - Ingredients section found...
2024-01-29 20:20:22 - INFO  - Ingredients added to excel file...
2024-01-29 20:20:22 - INFO  - 11 https://www.amazon.com/Color-Dream-Supernatural-Spray-Multi-award-winning/dp/B073CWSQ51/
2024-01-29 20:20:29 - INFO  - 12 https://www.amazon.com/Glide-Oral-B-Pro-Health-Clean-Floss/dp/B01KZOTTSO/
2024-01-29 20:20:37 - INFO  - Ingredients section found...
2024-01-29 20:20:42 - INFO  - Ingredients added to excel file...
2024-01-29 20:20:42 - INFO  - 13 https://www.amazon.com/ANUA-Heartleaf-Cleansing-Cleanser-Blackheads/dp/B0BN2PX8V3/
2024-01-29 20:20:50 - INFO  - Ingredients section found...
2024-01-29 20:20:55 - INFO  - Ingredients added to excel file...
2024-01-29 20:20:55 - INFO  - 14 https://www.amazon.com/Castor-16oz-Organic-Cold-Pressed-Hexane-Free/dp/B0186U9736/
2024-01-29 20:21:03 - INFO  - Ingredients section found...
2024-01-29 20:21:08 - INFO  - Ingredients added to excel file...
2024-01-29 20:21:08 - INFO  - 15 https://www.amazon.com/Wahl-Groomsman-Rinseable-Interchangeable-Detailing/dp/B003TW70E0/
2024-01-29 20:21:15 - INFO  - There is no Ingredient section for this product...
2024-01-29 20:21:15 - INFO  - 16 https://www.amazon.com/Oral-B-Black-Pro-1000-Rechargeable/dp/B01AKGRTUM/
2024-01-29 20:21:23 - INFO  - There is no Ingredient section for this product...
2024-01-29 20:21:23 - INFO  - 17 https://www.amazon.com/Polident-Antibacterial-Denture-Cleanser-Effervescent/dp/B000GGKPWQ/
2024-01-29 20:21:32 - INFO  - Ingredients section found...
2024-01-29 20:21:38 - INFO  - Ingredients added to excel file...
2024-01-29 20:21:39 - INFO  - 18 https://www.amazon.com/AOA-Collection-Blender-High-definition-Cosmetic/dp/B08GSTPT8Y/
2024-01-29 20:21:45 - INFO  - There is no Ingredient section for this product...
2024-01-29 20:21:45 - INFO  - 19 https://www.amazon.com/Listerine-Antiseptic-Mouthwash-Breath-Gingivitis/dp/B08MFWB9DY/
2024-01-29 20:21:54 - INFO  - Ingredients section found...
2024-01-29 20:22:02 - INFO  - Ingredients added to excel file...
2024-01-29 20:22:02 - INFO  - 20 https://www.amazon.com/Clippers-Stainless-Fingernail-Toenail-HAWATOUR/dp/B07M5RNH4Z/
2024-01-29 20:22:09 - INFO  - There is no Ingredient section for this product...
2024-01-29 20:22:10 - INFO  - 21 https://www.amazon.com/Sensodyne-Whitening-Sensitivity-Toothpaste-Sensitive/dp/B07C1ZQ5ZY/
2024-01-29 20:22:18 - INFO  - Ingredients section found...
2024-01-29 20:22:25 - INFO  - Ingredients added to excel file...
2024-01-29 20:22:25 - INFO  - 22 https://www.amazon.com/Bior%C3%A9-Blackhead-Unclogging-Technology-Non-Comedogenic/dp/B0009EILKS/
2024-01-29 20:22:31 - INFO  - Ingredients section found...
2024-01-29 20:22:37 - INFO  - Ingredients added to excel file...
2024-01-29 20:22:37 - INFO  - 23 https://www.amazon.com/Philips-Sonicare-Toothbrush-Rechargeable-HX3681/dp/B09LD8T445/
2024-01-29 20:22:46 - INFO  - There is no Ingredient section for this product...
2024-01-29 20:22:46 - INFO  - 24 https://www.amazon.com/Colgate-Toothbrush-Toothbrushes-Ergonomic-Circular/dp/B00CC6XSRC/
2024-01-29 20:22:53 - INFO  - There is no Ingredient section for this product...
2024-01-29 20:22:53 - INFO  - 25 https://www.amazon.com/NIVEA-Shea-Daily-Moisture-Lotion/dp/B00DG8F02Q/
2024-01-29 20:23:01 - INFO  - Ingredients section found...
2024-01-29 20:23:06 - INFO  - Ingredients added to excel file...
2024-01-29 20:23:06 - INFO  - 26 https://www.amazon.com/Tongue-Scraper-Adults-Cleaner-Metal-Tounge-Scrapper/dp/B07QRX886L/
2024-01-29 20:23:15 - INFO  - There is no Ingredient section for this product...
2024-01-29 20:23:15 - INFO  - 27 https://www.amazon.com/Maybelline-Volumizing-Buildable-Lengthening-Multiplying/dp/B08H4FSGDW/
2024-01-29 20:23:23 - INFO  - Ingredients section found...
2024-01-29 20:23:27 - INFO  - Ingredients added to excel file...
2024-01-29 20:23:27 - INFO  - 28 https://www.amazon.com/Laura-Geller-York-Baked-Balance-N-Brighten/dp/B000IEMGGE/
2024-01-29 20:23:35 - INFO  - Ingredients section found...
2024-01-29 20:23:38 - INFO  - Ingredients added to excel file...
2024-01-29 20:23:39 - INFO  - 29 https://www.amazon.com/Dove-Hypoallergenic-Paraben-Free-Sulfate-Free-Cruelty-Free/dp/B0BVBYQGTW/
2024-01-29 20:23:45 - INFO  - Ingredients section found...
2024-01-29 20:23:49 - INFO  - Ingredients added to excel file...
2024-01-29 20:23:49 - INFO  - 30 https://www.amazon.com/Amazon-Brand-MotionSphere-Lubrication-Cartridges/dp/B07CZCQ481/
2024-01-29 20:23:55 - INFO  - There is no Ingredient section for this product...
2024-01-29 20:23:55 - INFO  - 31 https://www.amazon.com/Premium-Exfoliating-Mitts-Exfoliation-Microdermabrasion/dp/B07NHZP4FW/
2024-01-29 20:24:03 - INFO  - There is no Ingredient section for this product...
2024-01-29 20:24:03 - INFO  - 32 https://www.amazon.com/Aveeno-Soothing-Sensitive-Moisturizing-Sulfate-Free/dp/B07FD24RTR/
2024-01-29 20:24:10 - INFO  - Ingredients section found...
2024-01-29 20:24:14 - INFO  - Ingredients added to excel file...
2024-01-29 20:24:14 - INFO  - 33 https://www.amazon.com/Philips-Sonicare-replacement-toothbrush-HX9033/dp/B078BF2BGN/
2024-01-29 20:24:21 - INFO  - There is no Ingredient section for this product...
2024-01-29 20:24:21 - INFO  - 34 https://www.amazon.com/Sensodyne-Protect-Sensitive-Whitening-Toothpaste/dp/B07YXDVT9W/
2024-01-29 20:24:28 - INFO  - Ingredients section found...
2024-01-29 20:24:32 - INFO  - Ingredients added to excel file...
2024-01-29 20:24:32 - INFO  - 35 https://www.amazon.com/Secret-Antiperspirant-Deodorant-Invisible-Completely/dp/B00HF3XSO0/
2024-01-29 20:24:40 - INFO  - Ingredients section found...
2024-01-29 20:24:44 - INFO  - Ingredients added to excel file...
2024-01-29 20:24:44 - INFO  - 36 https://www.amazon.com/Maybelline-Express-Falsies-Washable-Blackest/dp/B003I6O5RC/
2024-01-29 20:24:51 - INFO  - Ingredients section found...
2024-01-29 20:24:55 - INFO  - Ingredients added to excel file...
2024-01-29 20:24:55 - INFO  - 37 https://www.amazon.com/Gold-Bond-Friction-Defense-Unscented/dp/B007VC9DKI/
2024-01-29 20:25:02 - INFO  - Ingredients section found...
2024-01-29 20:25:06 - INFO  - Ingredients added to excel file...
2024-01-29 20:25:06 - INFO  - 38 https://www.amazon.com/Mehron-Makeup-Clown-White-Professional/dp/B00429O3EY/
2024-01-29 20:25:13 - INFO  - Ingredients section found...
2024-01-29 20:25:17 - INFO  - Ingredients added to excel file...
2024-01-29 20:25:17 - INFO  - 39 https://www.amazon.com/TheraBreath-Healthy-Periodontist-Formulated-Rinse/dp/B0758F8KDC/
2024-01-29 20:25:22 - INFO  - Ingredients section found...
2024-01-29 20:25:26 - INFO  - Ingredients added to excel file...
2024-01-29 20:25:26 - INFO  - 40 https://www.amazon.com/Gold-Bond-Ultimate-Intensive-Healing/dp/B00A8S6HM4/
